Date_of_visit,District,Chiefdom,Section,Name_of_community,Date_of_dep,Male_Child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Grand_total,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
2015-01-10,Bo,Komboya,,Mano,,,,14,,,16.0,30,1.0,1.0,2.0,1.0,0.0,0.0,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,Bo,Badjia,,Normiyama,,,,17,,,26.0,43,3.0,2.0,2.0,0.0,2.0,0.0,4,0.0,0.0,1,1.0,0,0.0,1.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
2015-01-07,Bo,Badjia,,Saaso,,,,11,,,12.0,23,3.0,1.0,2.0,0.0,1.0,0.0,1,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,Bo,Badjia,,Ngiehun,,,,18,,,20.0,38,4.0,2.0,2.0,0.0,2.0,0.0,5,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,Bo,Badjia,,Grima,,,,18,,,9.0,27,1.0,1.0,2.0,0.0,1.0,0.0,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-09,Bo,Badjia,,Jokibu,,,,12,,,18.0,30,2.0,2.0,2.0,0.0,2.0,0.0,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,Bo,Badjia,,Ngeiyewoma,,,,20,,,27.0,47,2.0,2.0,2.0,0.0,2.0,1.0,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,Bo,Badjia,,Njandama,,,,28,,,30.0,58,2.0,1.0,2.0,0.0,2.0,1.0,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,Bo,Badjia,,Ngumahun,,,,24,,,29.0,53,2.0,2.0,2.0,0.0,2.0,1.0,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0
2015-01-09,Bo,Badjia,,Jawai,,,,23,,,25.0,48,1.0,2.0,2.0,0.0,2.0,1.0,3,0.0,0.0,1,0.0,0,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-07,Bo,Badjia,,Njelehun,,,,10,,,14.0,24,1.0,0.0,1.0,0.0,0.0,0.0,4,1.0,0.0,0,0.0,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-06,Bo,Badjia,,Dambala,,,,12,,,7.0,19,1.0,1.0,1.0,0.0,0.0,0.0,3,0.0,0.0,0,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2015-01-08,Bo,Badjia,,Njabahun,,,,8,,,12.0,20,1.0,1.0,1.0,0.0,1.0,0.0,2,1.0,0.0,1,0.0,1,0.0,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
