Trig_date,District,Chiefdom,Section,Name_of_community,Male_child,Male_Adult,Total_male,Female_child,Female_adult,Total_female,Chiefs,Youth_leaders,Religious_leaders,Police,Women_leaders,Health_workers,Children,ss_mc,ss_fc,ss_ma,ss_fa,r_mc,r_fc,r_ma,r_fa,d_mc,d_fc,d_ma,d_fa,b_mc,b_fc,b_ma,b_fa,cb_mc,cb_fc,cb_ma,cb_fa
1/13/2015,Bombali,Makari Gbanti,Masongbo,Fullah Town,39,23,62,49,29,78,2,5,2,0,2,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2015,Bonthe,Yawma,Mbondai,Bum,24,73,97,28,54,82,2,4,3,0,0,4,NA,0,0,0,0,0,0,0,0,1,3,0,2,1,3,0,2,0,0,0,0
2/3/2015,Bonthe,Dema,Tombay,Dema,54,82,136,64,129,193,2,4,3,0,2,4,NA,0,0,0,0,0,0,0,0,2,0,3,1,2,0,2,2,0,0,0,0
2/3/2015,*,Chepo,Tissana,Dema,34,52,86,25,28,53,2,4,0,1,1,4,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2/3/2015,Bonthe,Kataway,Sangor,Yawbeko,85,46,131,23,42,65,2,3,4,0,0,4,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0
2/3/2015,Bonthe,Zoker [2],Levuma,Sorogbeima,65,57,122,29,22,51,2,5,4,2,1,2,NA,0,1,0,0,0,1,0,0,0,1,0,NA,0,1,0,0,0,0,0,0
2/3/2015,Bonthe,Sittia,Moore,Pontayei,85,96,181,66,106,172,3,5,1,0,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2015,Bonthe,Sakrim,Kemoh,Manorhun,19,31,50,22,39,61,3,4,1,0,1,2,NA,0,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0
2/3/2015,Bonthe,Sittia,Moore,Pontayei,10,37,47,11,20,31,2,3,4,1,2,1,NA,1,2,0,2,1,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2015,Bonthe,Kpanda Kema,Ba-Kobotu,Mongere,78,73,151,82,86,168,2,5,1,1,1,1,NA,1,0,1,2,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0
2/3/2015,Bonthe,Gbap,Mawonhe,Salina,66,92,158,60,90,150,2,5,4,0,0,1,NA,3,0,0,0,1,0,0,0,2,3,0,0,2,3,0,0,0,0,0,0
2/4/2015,Bonthe,Yawma,Taama-One,Bum,34,52,86,25,28,53,2,4,3,1,2,4,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0
2/4/2015,Bonthe,Dema,Mangay,Dema,8,35,43,9,21,30,2,0,0,0,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/2015,Bonthe,Chepo,Bachalor,Dema,17,55,72,15,37,52,2,4,3,2,2,4,NA,0,0,0,0,0,0,0,0,1,1,3,1,1,1,3,1,0,0,0,0
2/4/2015,Bonthe,Kataway,Gbeahan,Yawbeko,45,38,83,51,44,95,2,3,4,0,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/2015,Bonthe,Zoker [2],Sembehun,Sorogbeima,34,52,86,25,28,53,2,4,0,1,1,2,NA,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2/4/2015,Bonthe,Sittia,Moore,Gondama,66,85,151,73,96,169,2,5,1,0,1,0,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/4/2015,Bonthe,Sakrim,Kemoh,Senehun,4,36,40,2,36,38,2,4,1,1,1,2,NA,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,1,0,0,0
2/5/2015,Bonthe,Kahekay,Moyeveh,Imperi,26,31,57,29,27,56,2,0,0,1,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/2015,Bonthe,Dema,Baoma,Dema,26,31,57,29,27,56,2,4,3,0,0,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/2015,Bonthe,Chepo,Mogbonge,Dema,16,40,56,18,39,57,2,3,3,0,0,4,NA,0,0,0,1,0,0,0,0,0,0,2,0,0,0,1,0,0,0,1,0
2/5/2015,Bonthe,Kataway,Gbembo,Yawbeko,85,96,181,66,106,172,3,5,4,0,2,4,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/5/2015,Bonthe,Zoker [2],Kpanguma,Sorogbeima,17,55,72,15,37,52,2,4,4,2,1,2,NA,0,0,0,0,0,0,0,0,1,1,3,1,1,1,3,1,0,0,0,0
2/5/2015,Bonthe,Sittia,Kamia,Njorporhum,85,46,131,23,42,65,2,3,1,0,0,2,NA,0,0,0,1,0,0,0,1,0,0,0,0,0,0,NA,0,0,0,0,0
2/5/2015,Bonthe,Kpaka,Nyangoehun,Taninahun,24,73,97,28,54,82,2,4,1,0,0,2,NA,0,0,0,0,0,0,0,0,1,3,0,2,1,3,0,2,0,0,0,0
2/5/2015,Bonthe,Sakrim,Kemoh,Nuyila,26,55,81,15,34,49,2,3,1,1,1,2,NA,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0
2/6/2015,Bonthe,Yawma,Taama-One,Bum,44,50,94,30,33,63,2,3,4,0,0,4,NA,0,0,0,0,0,0,0,0,2,0,2,2,2,0,2,2,0,0,0,0
2/6/2015,Bonthe,Kahekay,Molatrga,Imperi,65,57,122,29,22,51,2,5,3,2,2,4,NA,0,1,0,0,0,1,0,0,1,2,0,0,0,1,0,0,1,1,0,0
2/6/2015,Bonthe,Dema,Tonteh,Dema,65,57,122,29,22,51,2,5,3,2,2,4,NA,0,1,0,0,0,1,0,0,0,1,0,NA,0,1,0,0,0,0,0,0
